Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Spawn Point Wander,"Spawn Point (367.74 -1.32 -73.79)",1,0,99,"(367.74, -1.32, -73.79)"
Spawn Point Wander,"Spawn Point (-494.04 20.59 -47.83)",1,0,99,"(-494.04, 20.59, -47.83)"
Spawn Point Wander,"Spawn Point (-147.94 31.13 -189.35)",1,0,99,"(-147.94, 31.13, -189.35)"
Spawn Point Wander,"Spawn Point (-522.07 8.26 97.21)",1,0,99,"(-522.07, 8.26, 97.21)"
Spawn Point Wander,"Spawn Point (-52.24 7.85 -763.90)",1,0,99,"(-52.24, 7.85, -763.90)"
Spawn Point Wander,"Spawn Point (-280.28 -0.86 332.87)",1,0,99,"(-280.28, -0.86, 332.87)"
Spawn Point Wander,"Spawn Point (-174.91 13.62 -649.87)",1,0,99,"(-174.91, 13.62, -649.87)"
Spawn Point Wander,"Spawn Point (-496.50 5.55 81.54)",1,0,99,"(-496.50, 5.55, 81.54)"
Spawn Point Wander,"Spawn Point (-260.74 10.41 -639.79)",1,0,99,"(-260.74, 10.41, -639.79)"
Spawn Point Wander,"Spawn Point (-414.22 16.69 -362.91)",1,0,99,"(-414.22, 16.69, -362.91)"
Spawn Point Wander,"Spawn Point (-537.10 -1.26 294.64)",1,0,99,"(-537.10, -1.26, 294.64)"
Spawn Point Wander,"Spawn Point (-613.22 8.34 142.59)",1,0,99,"(-613.22, 8.34, 142.59)"
Spawn Point Wander,"Spawn Point (372.94 15.30 -695.57)",1,0,99,"(372.94, 15.30, -695.57)"
Spawn Point Wander,"Spawn Point (228.39 -8.17 199.36)",1,0,99,"(228.39, -8.17, 199.36)"
Spawn Point Wander,"Spawn Point (-544.32 11.01 -438.94)",1,0,99,"(-544.32, 11.01, -438.94)"
Spawn Point Wander,"Spawn Point (487.41 -18.41 334.50)",1,0,99,"(487.41, -18.41, 334.50)"
Spawn Point Wander,"Spawn Point (-621.00 14.91 -328.73)",1,0,99,"(-621.00, 14.91, -328.73)"
Spawn Point Wander,"Spawn Point (465.27 -15.15 177.84)",1,0,99,"(465.27, -15.15, 177.84)"
Spawn Point Wander,"Spawn Point (464.24 -14.95 176.19)",1,0,99,"(464.24, -14.95, 176.19)"
Spawn Point Wander,"Spawn Point (135.88 8.46 -664.99)",1,0,99,"(135.88, 8.46, -664.99)"
Spawn Point Wander,"Spawn Point (-524.17 -2.58 220.33)",1,0,99,"(-524.17, -2.58, 220.33)"
Spawn Point Wander,"Spawn Point (487.36 -18.81 332.61)",1,0,99,"(487.36, -18.81, 332.61)"
Spawn Point Wander,"Spawn Point (-39.30 -13.50 348.37)",1,0,99,"(-39.30, -13.50, 348.37)"
Spawn Point Wander,"Spawn Point (63.32 8.99 -661.40)",1,0,99,"(63.32, 8.99, -661.40)"
Spawn Point Wander,"Spawn Point (297.18 23.03 -434.39)",1,0,99,"(297.18, 23.03, -434.39)"
Spawn Point Wander,"Spawn Point (391.61 13.62 -400.75)",1,0,99,"(391.61, 13.62, -400.75)"
Spawn Point Wander,"Spawn Point (-60.28 18.88 -230.12)",1,0,99,"(-60.28, 18.88, -230.12)"
Spawn Point Wander,"Spawn Point (234.30 26.98 -317.97)",1,0,99,"(234.30, 26.98, -317.97)"
Spawn Point Wander,"Spawn Point (-614.56 8.17 168.26)",1,0,99,"(-614.56, 8.17, 168.26)"
Spawn Point Wander,"Spawn Point (365.55 13.35 -700.83)",1,0,99,"(365.55, 13.35, -700.83)"
Spawn Point Wander,"Spawn Point (-707.77 8.19 118.46)",1,0,99,"(-707.77, 8.19, 118.46)"
Spawn Point Wander,"Spawn Point (-359.75 0.86 239.67)",1,0,99,"(-359.75, 0.86, 239.67)"
Spawn Point Wander,"Spawn Point (280.36 8.31 -674.51)",1,0,99,"(280.36, 8.31, -674.51)"
Spawn Point Wander,"Spawn Point (389.73 13.24 -403.93)",1,0,99,"(389.73, 13.24, -403.93)"
Spawn Point Wander,"Spawn Point (457.29 -10.99 97.49)",1,0,99,"(457.29, -10.99, 97.49)"
Spawn Point Wander,"Spawn Point (-84.18 8.85 -607.78)",1,0,99,"(-84.18, 8.85, -607.78)"
Spawn Point Wander,"Spawn Point (367.37 17.74 -594.91)",1,0,99,"(367.37, 17.74, -594.91)"
Spawn Point Wander,"Spawn Point (442.53 -17.47 261.18)",1,0,99,"(442.53, -17.47, 261.18)"
Spawn Point Wander,"Spawn Point (373.61 -1.93 -76.16)",1,0,99,"(373.61, -1.93, -76.16)"
Spawn Point Wander,"Spawn Point (87.77 -15.90 114.39)",1,0,99,"(87.77, -15.90, 114.39)"
Spawn Point Wander,"Spawn Point (-63.79 19.16 -233.02)",1,0,99,"(-63.79, 19.16, -233.02)"
Spawn Point Wander,"Spawn Point (-317.18 14.57 -429.82)",1,0,99,"(-317.18, 14.57, -429.82)"
Spawn Point Wander,"Spawn Point (348.79 -0.91 -155.92)",1,0,99,"(348.79, -0.91, -155.92)"
Spawn Point Wander,"Spawn Point (487.36 -18.62 330.75)",1,0,99,"(487.36, -18.62, 330.75)"
Spawn Point Wander,"Spawn Point (-521.16 7.28 154.30)",1,0,99,"(-521.16, 7.28, 154.30)"
Spawn Point Wander,"Spawn Point (-60.97 9.24 -579.60)",1,0,99,"(-60.97, 9.24, -579.60)"
Spawn Point Wander,"Spawn Point (391.52 12.88 -406.43)",1,0,99,"(391.52, 12.88, -406.43)"
Spawn Point Wander,"Spawn Point (280.47 -12.49 312.44)",1,0,99,"(280.47, -12.49, 312.44)"
Spawn Point Wander,"Spawn Point (516.80 -20.90 264.43)",1,0,99,"(516.80, -20.90, 264.43)"
Spawn Point Wander,"Spawn Point (231.08 26.48 -317.41)",1,0,99,"(231.08, 26.48, -317.41)"
Spawn Point Wander,"Spawn Point (-507.33 12.14 -145.30)",1,0,99,"(-507.33, 12.14, -145.30)"
Spawn Point Wander,"Spawn Point (-662.58 8.20 157.71)",1,0,99,"(-662.58, 8.20, 157.71)"
Spawn Point Wander,"Spawn Point (268.70 17.54 -756.90)",1,0,99,"(268.70, 17.54, -756.90)"
Spawn Point Wander,"Spawn Point (-312.92 14.30 -431.19)",1,0,99,"(-312.92, 14.30, -431.19)"
Spawn Point Wander,"Spawn Point (125.90 0.28 4.92)",1,0,99,"(125.90, 0.28, 4.92)"
Spawn Point Wander,"Spawn Point (-254.05 27.41 -204.69)",1,0,99,"(-254.05, 27.41, -204.69)"
Spawn Point Wander,"Spawn Point (-59.64 9.09 -577.11)",1,0,99,"(-59.64, 9.09, -577.11)"
Spawn Point Wander,"Spawn Point (-92.29 -0.68 380.44)",1,0,99,"(-92.29, -0.68, 380.44)"
Spawn Point Wander,"Spawn Point (25.57 11.32 -226.61)",1,0,99,"(25.57, 11.32, -226.61)"
Spawn Point Wander,"Spawn Point (64.66 9.08 -656.64)",1,0,99,"(64.66, 9.08, -656.64)"
Spawn Point Wander,"Spawn Point (-253.67 11.57 -638.93)",1,0,99,"(-253.67, 11.57, -638.93)"
Spawn Point Wander,"Spawn Point (-301.80 14.94 -393.71)",1,0,99,"(-301.80, 14.94, -393.71)"
Spawn Point Wander,"Spawn Point (-140.80 61.46 -206.84)",1,0,99,"(-140.80, 61.46, -206.84)"
Spawn Point Wander,"Spawn Point (96.41 14.95 -761.12)",1,0,99,"(96.41, 14.95, -761.12)"
Spawn Point Wander,"Spawn Point (-6.43 10.99 -786.35)",1,0,99,"(-6.43, 10.99, -786.35)"
Spawn Point Wander,"Spawn Point (-711.19 8.21 132.54)",1,0,99,"(-711.19, 8.21, 132.54)"
Spawn Point Wander,"Spawn Point (-271.73 7.44 -418.52)",1,0,99,"(-271.73, 7.44, -418.52)"
Spawn Point Wander,"Spawn Point (515.21 -20.88 264.44)",1,0,99,"(515.21, -20.88, 264.44)"
Spawn Point Wander,"Spawn Point (-218.29 31.65 -202.19)",1,0,99,"(-218.29, 31.65, -202.19)"
Spawn Point Wander,"Spawn Point (279.90 -12.07 317.73)",1,0,99,"(279.90, -12.07, 317.73)"
Spawn Point Wander,"Spawn Point (388.36 12.85 -410.25)",1,0,99,"(388.36, 12.85, -410.25)"
Spawn Point Wander,"Spawn Point (-526.74 11.24 86.86)",1,0,99,"(-526.74, 11.24, 86.86)"
Spawn Point Wander,"Spawn Point (278.75 -11.94 315.84)",1,0,99,"(278.75, -11.94, 315.84)"
Spawn Point Wander,"Spawn Point (-346.46 -8.44 131.01)",1,0,99,"(-346.46, -8.44, 131.01)"
Spawn Point Wander,"Spawn Point (231.64 -7.43 201.72)",1,0,99,"(231.64, -7.43, 201.72)"
Spawn Point Wander,"Spawn Point (-416.20 12.94 -468.80)",1,0,99,"(-416.20, 12.94, -468.80)"
Spawn Point Wander,"Spawn Point (-516.65 7.28 146.29)",1,0,99,"(-516.65, 7.28, 146.29)"
Spawn Point Wander,"Spawn Point (366.78 1.10 0.55)",1,0,99,"(366.78, 1.10, 0.55)"
Spawn Point Wander,"Spawn Point (234.96 26.92 -314.58)",1,0,99,"(234.96, 26.92, -314.58)"
Spawn Point Wander,"Spawn Point (-131.71 28.50 -197.84)",1,0,99,"(-131.71, 28.50, -197.84)"
Spawn Point Wander,"Spawn Point (-55.95 7.60 -759.37)",1,0,99,"(-55.95, 7.60, -759.37)"
Spawn Point Wander,"Spawn Point (-231.18 1.15 400.86)",1,0,99,"(-231.18, 1.15, 400.86)"
Spawn Point Wander,"Spawn Point (101.13 15.55 -761.98)",1,0,99,"(101.13, 15.55, -761.98)"
Spawn Point Wander,"Spawn Point (-329.15 18.81 -141.79)",1,0,99,"(-329.15, 18.81, -141.79)"
Spawn Point Wander,"Spawn Point (515.24 -20.81 261.53)",1,0,99,"(515.24, -20.81, 261.53)"
Spawn Point Wander,"Spawn Point (-272.87 23.92 -497.73)",1,0,99,"(-272.87, 23.92, -497.73)"
Spawn Point Wander,"Spawn Point (-561.09 15.21 -355.31)",1,0,99,"(-561.09, 15.21, -355.31)"
Spawn Point Wander,"Spawn Point (-708.80 8.19 121.67)",1,0,99,"(-708.80, 8.19, 121.67)"
Spawn Point Wander,"Spawn Point (487.36 -18.06 328.52)",1,0,99,"(487.36, -18.06, 328.52)"
Spawn Point Wander,"Spawn Point (-298.29 0.07 205.65)",1,0,99,"(-298.29, 0.07, 205.65)"
Spawn Point Wander,"Spawn Point (-525.27 10.74 88.43)",1,0,99,"(-525.27, 10.74, 88.43)"
Spawn Point Wander,"Spawn Point (-515.51 12.16 -153.09)",1,0,99,"(-515.51, 12.16, -153.09)"
Spawn Point Wander,"Spawn Point (-537.79 -1.21 295.99)",1,0,99,"(-537.79, -1.21, 295.99)"
Spawn Point Wander,"Spawn Point (-526.84 -2.52 216.27)",1,0,99,"(-526.84, -2.52, 216.27)"
Spawn Point Wander,"Spawn Point (463.69 -12.19 115.73)",1,0,99,"(463.69, -12.19, 115.73)"
Spawn Point Wander,"Spawn Point (-130.03 9.62 -726.55)",1,0,99,"(-130.03, 9.62, -726.55)"
Spawn Point Wander,"Spawn Point (-158.70 -4.34 296.50)",1,0,99,"(-158.70, -4.34, 296.50)"
Spawn Point Wander,"Spawn Point (-442.60 15.32 -180.74)",1,0,99,"(-442.60, 15.32, -180.74)"
Spawn Point Wander,"Spawn Point (103.95 17.62 -757.72)",1,0,99,"(103.95, 17.62, -757.72)"
Spawn Point Wander,"Spawn Point (-608.97 9.50 146.79)",1,0,99,"(-608.97, 9.50, 146.79)"
Spawn Point Wander,"Spawn Point (-203.55 1.14 417.31)",1,0,99,"(-203.55, 1.14, 417.31)"
Spawn Point Wander,"Spawn Point (-109.97 -12.87 240.99)",1,0,99,"(-109.97, -12.87, 240.99)"
Spawn Point Wander,"Spawn Point (443.48 -11.44 84.13)",1,0,99,"(443.48, -11.44, 84.13)"
Spawn Point Wander,"Spawn Point (311.73 22.97 -490.08)",1,0,99,"(311.73, 22.97, -490.08)"
Spawn Rush,"Spawn Rush: Objective #1",1,0,99,"(465.27, -15.17, 177.84)"
Boss Hunter (bossKnight),"Spawn Point (269.67 17.01 -758.63)",1,15,99,"(269.67, 17.01, -758.63)"
Boss Hunter (bossKnight),"Spawn Point (280.46 7.96 -665.38)",1,15,99,"(280.46, 7.96, -665.38)"
Boss Hunter (bossKnight),"Spawn Point (263.90 17.31 -762.50)",1,15,99,"(263.90, 17.31, -762.50)"
Boss Hunter (bossKnight),"Spawn Point (157.49 24.38 -690.61)",1,15,99,"(157.49, 24.38, -690.61)"
Boss Hunter (bossKnight),"Spawn Point (179.00 18.14 -771.42)",1,15,99,"(179.00, 18.14, -771.42)"
Boss Hunter (bossKnight),"Spawn Point (281.70 8.24 -668.62)",1,15,99,"(281.70, 8.24, -668.62)"
Boss Hunter (bossKnight),"Spawn Point (135.88 8.46 -664.99)",1,15,99,"(135.88, 8.46, -664.99)"
Boss Hunter (bossKnight),"Spawn Point (280.36 8.31 -674.51)",1,15,99,"(280.36, 8.31, -674.51)"
Boss Hunter (bossKnight),"Spawn Point (268.70 17.54 -756.90)",1,15,99,"(268.70, 17.54, -756.90)"
Boss Hunter (bossKnight),"Spawn Point (96.41 14.95 -761.12)",1,15,99,"(96.41, 14.95, -761.12)"
Boss Hunter (bossKnight),"Spawn Point (101.13 15.55 -761.98)",1,15,99,"(101.13, 15.55, -761.98)"
Boss Hunter (bossKnight),"Spawn Point (103.95 17.62 -757.72)",1,15,99,"(103.95, 17.62, -757.72)"
Boss Hunter (bossKojaniy),"Spawn Point (-2.31 -1.44 -74.57)",1,15,99,"(-2.31, -1.44, -74.57)"
Boss Hunter (bossKojaniy),"Spawn Point (94.85 6.81 -203.72)",1,15,99,"(94.85, 6.81, -203.72)"
Boss Hunter (bossKojaniy),"Spawn Point (135.05 8.54 -174.15)",1,15,99,"(135.05, 8.54, -174.15)"
Boss Hunter (bossKojaniy),"Spawn Point (63.22 -7.55 35.22)",1,15,99,"(63.22, -7.55, 35.22)"
Boss Hunter (bossKojaniy),"Spawn Point (-12.29 13.80 -229.31)",1,15,99,"(-12.29, 13.80, -229.31)"
Boss Hunter (bossKojaniy),"Spawn Point (72.91 11.85 -220.45)",1,15,99,"(72.91, 11.85, -220.45)"
Boss Hunter (bossKojaniy),"Spawn Point (102.62 7.21 -152.19)",1,15,99,"(102.62, 7.21, -152.19)"
Boss Hunter (bossKojaniy),"Spawn Point (90.27 -15.82 116.15)",1,15,99,"(90.27, -15.82, 116.15)"
Boss Hunter (bossKojaniy),"Spawn Point (-60.28 18.88 -230.12)",1,15,99,"(-60.28, 18.88, -230.12)"
Boss Hunter (bossKojaniy),"Spawn Point (87.77 -15.90 114.39)",1,15,99,"(87.77, -15.90, 114.39)"
Boss Hunter (bossKojaniy),"Spawn Point (-63.79 19.16 -233.02)",1,15,99,"(-63.79, 19.16, -233.02)"
Boss Hunter (bossKojaniy),"Spawn Point (125.90 0.28 4.92)",1,15,99,"(125.90, 0.28, 4.92)"
Boss Hunter (bossKojaniy),"Spawn Point (25.57 11.32 -226.61)",1,15,99,"(25.57, 11.32, -226.61)"
Boss Hunter (sectantPriest),"Spawn Point (-117.59 11.94 -729.39)",1,15,99,"(-117.59, 11.94, -729.39)"
Boss Hunter (sectantPriest),"Spawn Point (2.75 14.79 -777.28)",1,15,99,"(2.75, 14.79, -777.28)"
Boss Hunter (sectantPriest),"Spawn Point (-130.62 13.05 -623.17)",1,15,99,"(-130.62, 13.05, -623.17)"
Boss Hunter (sectantPriest),"Spawn Point (-155.22 18.26 -620.36)",1,15,99,"(-155.22, 18.26, -620.36)"
Boss Hunter (sectantPriest),"Spawn Point (307.94 -0.59 -159.81)",1,15,99,"(307.94, -0.59, -159.81)"
Boss Hunter (sectantPriest),"Spawn Point (-86.89 7.95 -752.65)",1,15,99,"(-86.89, 7.95, -752.65)"
Boss Hunter (sectantPriest),"Spawn Point (-23.70 9.08 -779.76)",1,15,99,"(-23.70, 9.08, -779.76)"
Boss Hunter (sectantPriest),"Spawn Point (242.89 1.51 -164.25)",1,15,99,"(242.89, 1.51, -164.25)"
Boss Hunter (sectantPriest),"Spawn Point (187.10 3.38 -149.56)",1,15,99,"(187.10, 3.38, -149.56)"
Boss Hunter (sectantPriest),"Spawn Point (-171.68 14.81 -617.70)",1,15,99,"(-171.68, 14.81, -617.70)"
Boss Hunter (sectantPriest),"Spawn Point (-174.46 9.39 -713.93)",1,15,99,"(-174.46, 9.39, -713.93)"
Boss Hunter (sectantPriest),"Spawn Point (-108.48 10.13 -609.90)",1,15,99,"(-108.48, 10.13, -609.90)"
Boss Hunter (sectantPriest),"Spawn Point (375.81 -1.05 -115.25)",1,15,99,"(375.81, -1.05, -115.25)"
Boss Hunter (sectantPriest),"Spawn Point (9.66 15.71 -780.57)",1,15,99,"(9.66, 15.71, -780.57)"
Boss Hunter (sectantPriest),"Spawn Point (355.30 -0.35 -91.51)",1,15,99,"(355.30, -0.35, -91.51)"
Boss Hunter (sectantPriest),"Spawn Point (-49.76 8.01 -766.39)",1,15,99,"(-49.76, 8.01, -766.39)"
Boss Hunter (sectantPriest),"Spawn Point (-52.24 7.85 -763.90)",1,15,99,"(-52.24, 7.85, -763.90)"
Boss Hunter (sectantPriest),"Spawn Point (-174.91 13.62 -649.87)",1,15,99,"(-174.91, 13.62, -649.87)"
Boss Hunter (sectantPriest),"Spawn Point (-84.18 8.85 -607.78)",1,15,99,"(-84.18, 8.85, -607.78)"
Boss Hunter (sectantPriest),"Spawn Point (348.79 -0.91 -155.92)",1,15,99,"(348.79, -0.91, -155.92)"
Boss Hunter (sectantPriest),"Spawn Point (-6.43 10.99 -786.35)",1,15,99,"(-6.43, 10.99, -786.35)"
Boss Hunter (sectantPriest),"Spawn Point (-55.95 7.60 -759.37)",1,15,99,"(-55.95, 7.60, -759.37)"
Boss Hunter (sectantPriest),"Spawn Point (-130.03 9.62 -726.55)",1,15,99,"(-130.03, 9.62, -726.55)"
Scav Base,"Scav Base: Objective #1",5,0,99,"(-177.79, -1.83, 264.29)"
Scav Base,"Scav Base: Objective #2",4,0,99,"(-204.24, -1.86, 204.72)"
Scav Base,"Scav Base: Objective #3",1,0,99,"(-189.09, -1.86, 221.81)"
Scav Base,"Scav Base: Objective #4",2,0,99,"(-192.18, -2.27, 255.07)"
RUAF Roadblock Crates,"RUAF Roadblock Crates: Objective #1",1,0,99,"(-117.87, -1.28, 402.16)"
RUAF Roadblock Crates,"RUAF Roadblock Crates: Objective #2",1,0,99,"(-136.87, -1.53, 414.80)"
Ambulance,"Ambulance: Objective #1",1,0,99,"(-97.63, -15.37, 219.63)"
Sawmill Shack,"Sawmill Shack: Objective #1",2,0,99,"(-24.17, -3.62, 45.34)"
Sawmill Cabins,"Sawmill Cabins: Objective #1",2,5,99,"(-5.19, -1.48, -69.47)"
Sawmill Cabins,"Sawmill Cabins: Objective #2",2,5,99,"(-5.46, -1.48, -74.79)"
Sawmill Cabins,"Sawmill Cabins: Objective #3",1,5,99,"(-1.86, -1.48, -80.48)"
Sawmill Warehouse,"Sawmill Warehouse: Objective #1",2,5,99,"(77.11, -1.75, -47.34)"
Sawmill Warehouse,"Sawmill Warehouse: Objective #2",1,5,99,"(55.49, -2.60, -48.08)"
Sawmill Common Fund Stash,"Sawmill Common Fund Stash: Objective #1",1,15,99,"(24.02, -2.60, -30.52)"
Spine,"Spine: Objective #1",1,3,99,"(-248.28, 26.35, -196.45)"
Spine,"Spine: Objective #2",1,3,99,"(-333.59, 28.14, -227.69)"
Sniper Rock Crates,"Sniper Rock Crates: Objective #1",1,0,99,"(-155.81, 51.17, -275.11)"
Sniper Rock Crates,"Sniper Rock Crates: Objective #2",1,0,99,"(-232.67, 67.78, -229.94)"
Sniper Rock Crates,"Sniper Rock Crates: Objective #3",1,0,99,"(-210.42, 76.30, -272.82)"
Sawmill Checkpoint,"Sawmill Checkpoint: Objective #1",3,0,99,"(239.72, -1.81, -70.83)"
Sawmill Checkpoint,"Sawmill Checkpoint: Objective #2",1,0,99,"(231.96, -2.22, -69.86)"
Sawmill Checkpoint Sniping,"Sawmill Checkpoint Sniping: Objective #1",2,5,99,"(218.13, -0.50, -132.79)"
Sawmill Checkpoint Sniping 2,"Sawmill Checkpoint Sniping 2: Objective #1",2,5,99,"(366.99, 4.39, -9.08)"
Sawmill Checkpoint Nearby Rocks,"Sawmill Checkpoint Nearby Rocks: Objective #1",1,0,99,"(356.58, -0.46, -88.39)"
ZB-014 Inner Room,"ZB-014 Inner Room: Objective #1",1,7,99,"(446.22, -14.20, 61.33)"
Scav House Sniping,"Scav House Sniping: Objective #1",2,5,99,"(315.13, -5.04, 268.42)"
Scav House Sniping,"Scav House Sniping: Objective #2",2,5,99,"(388.11, -11.64, 286.04)"
Scav House Sniping,"Scav House Sniping: Objective #3",2,5,99,"(448.59, -17.07, 245.39)"
Old Sawmill,"Old Sawmill: Objective #1",1,0,99,"(-512.15, 15.96, -177.12)"
Old Sawmill,"Old Sawmill: Objective #2",2,0,99,"(-548.21, 18.16, -205.27)"
Old Sawmill,"Old Sawmill: Objective #3",1,0,99,"(-534.32, 18.19, -204.98)"
Old Sawmill,"Old Sawmill: Objective #4",3,0,99,"(-548.78, 15.16, -206.33)"
Old Sawmill,"Old Sawmill: Objective #5",1,0,99,"(-564.21, 21.44, -216.55)"
Scav Town Sniping,"Scav Town Sniping: Objective #1",2,5,99,"(-508.47, 23.35, -283.22)"
Scav Town Sniping,"Scav Town Sniping: Objective #2",2,5,99,"(-521.95, 21.73, -287.81)"
Scav Town Sniping,"Scav Town Sniping: Objective #3",2,5,99,"(-487.47, 22.50, -271.87)"
Scav Town,"Scav Town: Objective #1",3,0,99,"(-460.58, 15.58, -364.78)"
Scav Town,"Scav Town: Objective #2",1,0,99,"(-463.29, 15.19, -331.61)"
Scav Town,"Scav Town: Objective #3",2,0,99,"(-498.99, 15.25, -403.22)"
Scav Town,"Scav Town: Objective #4",2,0,99,"(-507.24, 15.55, -391.81)"
Scav Town,"Scav Town: Objective #5",3,0,99,"(-454.76, 15.41, -399.00)"
VEX Beach,"VEX Beach: Objective #1",2,0,99,"(-523.77, 10.07, -473.09)"
Scav Bridge Overlook,"Scav Bridge Overlook: Objective #1",1,0,99,"(134.11, 24.57, -758.50)"
Scav Bridge Overlook,"Scav Bridge Overlook: Objective #2",1,0,99,"(131.55, 24.65, -733.80)"
Scav Bridge Overlook,"Scav Bridge Overlook: Objective #3",1,0,99,"(141.97, 24.40, -729.47)"
Scav Bridge Overlook,"Scav Bridge Overlook: Objective #4",1,0,99,"(140.43, 27.20, -726.47)"
Scav Bunker,"Scav Bunker: Objective #1",2,0,99,"(225.04, 24.46, -695.76)"
Scav Bunker,"Scav Bunker: Objective #2",2,0,99,"(224.62, 24.77, -717.58)"
Scav Bunker,"Scav Bunker: Objective #3",2,0,99,"(222.83, 20.18, -707.41)"
USEC Camp North,"USEC Camp North: Objective #1",3,0,99,"(270.30, 22.99, -510.71)"
USEC Camp North,"USEC Camp North: Objective #3",1,0,99,"(289.12, 22.92, -512.73)"
USEC Camp North,"USEC Camp North: Objective #4",2,0,99,"(296.37, 22.92, -507.39)"
USEC Camp South,"USEC Camp South: Objective #1",3,0,99,"(303.40, 23.04, -462.27)"
USEC Camp South,"USEC Camp South: Objective #2",1,0,99,"(297.65, 22.93, -439.79)"
USEC Camp South,"USEC Camp South: Objective #3",4,0,99,"(283.48, 23.23, -436.05)"
Weapon Storage Shack,"Weapon Storage Shack: Objective #1",1,0,99,"(243.10, -8.43, 124.23)"
Sunken Village,"Sunken Village: Objective #1",1,0,99,"(-45.82, 8.73, -599.74)"
Sunken Village,"Sunken Village: Objective #2",1,0,99,"(-172.44, 12.50, -688.39)"
Sunken Village,"Sunken Village: Objective #3",1,0,99,"(-37.00, 10.03, -740.66)"
Northern UN Roadblock,"Northern UN Roadblock: Objective #1",1,0,99,"(-563.80, 9.78, -77.74)"
Dead Man's Place,"Dead Man's Place: Objective #1",1,0,99,"(194.42, -14.87, 260.63)"
Sawmill Patrol,"Sawmill Patrol: Objective #1",2,5,99,"(-23.47, 6.03, -81.32)"
Sawmill Patrol,"Sawmill Patrol: Objective #2",2,5,99,"(-20.29, 4.91, -55.90)"
Sawmill Patrol,"Sawmill Patrol: Objective #3",2,5,99,"(-43.48, 3.68, 24.41)"
Sawmill Patrol,"Sawmill Patrol: Objective #4",2,5,99,"(-32.92, 4.65, -28.50)"
Sawmill Patrol,"Sawmill Patrol: Objective #5",2,5,99,"(-46.49, 5.26, 6.62)"
Sawmill Sniping,"Sawmill Sniping: Objective #1",2,0,99,"(120.33, 3.40, 14.43)"
Sawmill Beach Sniping,"Sawmill Beach Sniping: Objective #1",2,0,99,"(-74.00, -5.55, 162.20)"
Convoy,"Convoy: Objective #1",1,0,99,"(192.15, 10.69, -588.16)"
Convoy,"Convoy: Objective #2",1,0,99,"(197.11, 11.03, -598.08)"
Sawmill Marked Circle,"Sawmill Marked Circle: Objective #1",1,0,99,"(194.04, 0.35, -6.58)"
Sawmill Camp,"Sawmill Camp: Objective #1",1,0,99,"(133.20, -3.67, 100.80)"
ZB014 Outhouses,"ZB014 Outhouses: Objective #1",1,0,99,"(429.13, -5.37, -24.43)"
Scav House,"Scav House: Objective #1",1,0,99,"(414.51, -13.50, 239.25)"
Scav Base Sniping,"Scav Base Sniping: Objective #1",2,0,99,"(-159.70, 5.82, 110.02)"
RUAF Roadblock Sniping,"RUAF Roadblock Sniping: Objective #1",2,0,99,"(-99.25, 0.12, 378.20)"
Marked Circle Bunker,"Marked Circle Bunker: Objective #1",1,0,99,"(-266.79, 6.86, -405.80)"
Marked Circle Bunker,"Marked Circle Bunker: Objective #2",1,0,99,"(-276.30, 7.46, -419.07)"
Marked Circle Bunker,"Marked Circle Bunker: Objective #3",1,0,99,"(-272.16, 7.46, -416.16)"
Marked Circle Bunker,"Marked Circle Bunker: Objective #4",4,0,99,"(-273.02, 7.50, -411.36)"
Airdrop Chaser,"Airdrop Chaser: Objective #1",1,0,99,"(-557.11, 9.52, -90.70)"
